"","pitch_type","whiff","swing","estimated_woba_using_speedangle","release_speed","pfx_x","pfx_z"
"476","FC",0,0,NA,85.5,-0.08,0.46
"477","SL",0,1,0.47,86.4,0.5,-0.2
"478","SL",0,0,NA,88.1,0.44,0.18
"479","SL",0,0,NA,83.2,0.32,0.16
"480","SL",0,0,NA,81,1.2,-0.06
"481","CU",0,0,NA,82.4,0.22,-0.65
"482","FC",0,1,0.268,85.8,0.36,0.89
"483","SL",0,0,NA,88.8,0.55,0.34
"484","FC",0,1,NA,91.3,0.21,0.66
"485","FC",0,0,NA,89.7,0.06,0.65
"486","KC",1,1,NA,81.7,0.49,-1.65
"487","FC",0,1,0.049,86.5,0.66,0.26
"488","SL",0,1,NA,92.1,0.38,0.42
"489","FC",0,1,NA,89.2,0.27,0.4
"490","SL",0,0,NA,86.2,0.3,-0.45
"491","KC",0,1,NA,82.3,0.47,-1.58
"492","FC",0,1,0.075,85.5,0.57,0.3
"493","FC",0,0,NA,88.1,-0.08,1.06
"494","FC",0,1,0.206,93.4,0.49,0.97
"495","KC",1,1,NA,79.2,1.02,-0.93
"496","FC",0,0,NA,86,0.4,0.39
"497","FC",0,1,0.11,94.4,0.4,1.09
"498","SL",0,0,NA,79,0.15,-0.29
"499","FC",0,0,NA,91.4,0.14,0.72
"500","SL",0,1,NA,91.8,0.22,0.22
"501","FC",0,0,NA,88.3,0.36,0.35
"502","SL",0,0,NA,84.2,0.46,-0.03
"503","SL",1,1,NA,89.3,0.03,0.12
"504","FC",0,1,NA,85.9,0.45,0.76
"505","FC",0,0,NA,90.1,0.18,0.52
"506","SL",0,0,NA,81.5,1.13,0.24
"507","KC",0,1,0.599,85.2,0.06,-0.34
"508","FC",0,0,NA,91.1,0.33,0.54
"509","SL",0,0,NA,88.6,0.01,0.41
"510","KC",1,1,NA,83.7,0.37,-0.91
"511","KC",0,0,NA,77.9,1.15,-1.12
"512","SL",0,1,NA,86.8,0.07,0
"513","FC",0,0,NA,93.2,0.21,0.76
"514","FC",0,0,NA,88.1,-0.01,1.3
"515","SL",1,1,NA,81.4,1.07,0.28
"516","SL",0,0,NA,86.1,0.12,0.17
"517","SL",0,0,NA,85,0.51,-0.17
"518","SL",0,0,NA,87.4,0.26,0.24
"519","SL",0,0,NA,85.3,0.06,0.08
"520","FC",0,1,NA,86.2,0.16,0.75
"521","FC",0,1,0.021,87.7,-0.18,1.34
"522","CU",0,0,NA,80.5,0.92,-0.45
"523","SL",0,1,0.098,91.3,0.63,0.29
"524","CU",0,1,NA,74.9,1.79,-0.56
"525","SL",0,1,NA,78.8,0.01,-0.09
"526","KC",0,0,NA,88.3,-0.05,-0.06
"527","FC",0,1,1.939,89.4,0.1,1
"528","CU",0,1,NA,77.4,0.57,-1.62
"529","FC",1,1,NA,91.4,0.23,0.62
"530","FC",0,0,NA,86.2,0.22,0.79
"531","SL",0,0,NA,91.3,0.58,0.46
"532","FC",0,1,NA,85.5,0.12,0.9
"533","SL",0,1,0.718,83.7,0.37,0.14
"534","SL",1,1,NA,87.1,0.16,0.04
"535","SL",0,1,NA,88,-0.3,0.29
"536","CU",0,0,NA,76.2,0.79,-1.24
"537","FC",0,0,NA,93.8,0.4,1.3
"538","SL",1,1,NA,87.1,0.47,0.16
"539","CU",0,0,NA,79.8,1.25,-0.91
